CODE PAGE 737 (CP737, IBM 00737, EOM737)

Dec  Hex   Char    Description
---  ---   ----    -----------
 32  20    (space) Space
 33  21    !       Exclamation mark
 34  22    "       Double quote
 35  23    #       Number sign (hash)
 36  24    $       Dollar sign
 37  25    %       Percent
 38  26    &       Ampersand
 39  27    '       Single quote (apostrophe)
 40  28    (       Left parenthesis
 41  29    )       Right parenthesis
 42  2A    *       Asterisk
 43  2B    +       Plus sign
 44  2C    ,       Comma
 45  2D    -       Hyphen (minus sign)
 46  2E    .       Period (full stop)
 47  2F    /       Forward slash
 48  30    0       Digit zero
 49  31    1       Digit one
 50  32    2       Digit two
 51  33    3       Digit three
 52  34    4       Digit four
 53  35    5       Digit five
 54  36    6       Digit six
 55  37    7       Digit seven
 56  38    8       Digit eight
 57  39    9       Digit nine
 58  3A    :       Colon
 59  3B    ;       Semicolon
 60  3C    <       Less than sign
 61  3D    =       Equals sign
 62  3E    >       Greater than sign
 63  3F    ?       Question mark
 64  40    @       At sign
 65  41    A       Uppercase letter A
 66  42    B       Uppercase letter B
 67  43    C       Uppercase letter C
 68  44    D       Uppercase letter D
 69  45    E       Uppercase letter E
 70  46    F       Uppercase letter F
 71  47    G       Uppercase letter G
 72  48    H       Uppercase letter H
 73  49    I       Uppercase letter I
 74  4A    J       Uppercase letter J
 75  4B    K       Uppercase letter K
 76  4C    L       Uppercase letter L
 77  4D    M       Uppercase letter M
 78  4E    N       Uppercase letter N
 79  4F    O       Uppercase letter O
 80  50    P       Uppercase letter P
 81  51    Q       Uppercase letter Q
 82  52    R       Uppercase letter R
 83  53    S       Uppercase letter S
 84  54    T       Uppercase letter T
 85  55    U       Uppercase letter U
 86  56    V       Uppercase letter V
 87  57    W       Uppercase letter W
 88  58    X       Uppercase letter X
 89  59    Y       Uppercase letter Y
 90  5A    Z       Uppercase letter Z
 91  5B    [       Left square bracket
 92  5C    \       Backslash
 93  5D    ]       Right square bracket
 94  5E    ^       Caret (circumflex)
 95  5F    _       Underscore
 96  60    `       Grave accent
 97  61    a       Lowercase letter a
 98  62    b       Lowercase letter b
 99  63    c       Lowercase letter c
100  64    d       Lowercase letter d
101  65    e       Lowercase letter e
102  66    f       Lowercase letter f
103  67    g       Lowercase letter g
104  68    h       Lowercase letter h
105  69    i       Lowercase letter i
106  6A    j       Lowercase letter j
107  6B    k       Lowercase letter k
108  6C    l       Lowercase letter l
109  6D    m       Lowercase letter m
110  6E    n       Lowercase letter n
111  6F    o       Lowercase letter o
112  70    p       Lowercase letter p
113  71    q       Lowercase letter q
114  72    r       Lowercase letter r
115  73    s       Lowercase letter s
116  74    t       Lowercase letter t
117  75    u       Lowercase letter u
118  76    v       Lowercase letter v
119  77    w       Lowercase letter w
120  78    x       Lowercase letter x
121  79    y       Lowercase letter y
122  7A    z       Lowercase letter z
123  7B    {       Left curly brace
124  7C    |       Vertical bar (pipe)
125  7D    }       Right curly brace
126  7E    ~       Tilde
127  7F            Delete
128  80    Ç       Latin Capital Letter C with Cedilla
129  81    ü       Latin Small Letter U with Diaeresis
130  82    é       Latin Small Letter E with Acute
131  83    â       Latin Small Letter A with Circumflex
132  84    ä       Latin Small Letter A with Diaeresis
133  85    à       Latin Small Letter A with Grave
134  86    å       Latin Small Letter A with Ring Above
135  87    ç       Latin Small Letter C with Cedilla
136  88    ê       Latin Small Letter E with Circumflex
137  89    ë       Latin Small Letter E with Diaeresis
138  8A    è       Latin Small Letter E with Grave
